"biz_id","metadata_name","metadata_value","category_path","Label"
"528261","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"604780","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"528260","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"604757","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"38551","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"282795","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"533764","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"605082","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"490844","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"38552","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"352346","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"605065","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"604994","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"162999","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"130546","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"61893","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"123716","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"252859","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"252858","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"465058","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"462372","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"251476","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"438500","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
